URL,Company,tagline,Website,Twitter,Facebook,Linkedin,Location,Company Size,Markets,Founders or People
https://angel.co/company/bcouk-retail,BCOUK,CBD Retailer,buycannabisonline.uk,,,,London,1-10 people,MarijuanaMedical Marijuana DispensariesMarijuana Edibles,Helen Kellers
https://angel.co/company/tap-root-genetics,Tap Root Genetics,Breeding and Seeds production,taprootseeds.com,,,,Victoria,1-10 people,MarijuanaAgricultureHome & GardenFarming,Theo Alliman
https://angel.co/company/stealth-cannabis-tech-startup,Stealth Cannabis Tech Startup,GitHub for the cannabis industry,en.wikipedia.org/wiki/Stealth,,,,"Boston
Los Angeles
San Diego
Las Vegas
Oklahoma
Humboldt County
Remote",1-10 people,Enterprise SoftwareOpen SourceApplication PlatformsCollaborative ConsumptionMarijuana,Michael Beats
https://angel.co/company/kuure,Kuure,The Future of CBD,kuure.com,,,,Portland,1-10 people,E-CommerceSoftwareMarijuana,Nick Dominguez
https://angel.co/company/toke-2,Toke,Blockchain based cannabis delivery platform,tokedelivers.com,,,,Nevada,11-50 people,MobileTechnologyEcommerceMarijuana EdiblesMedical Marijuana DispensariesMarijuanaBlockchain / Cryptocurrency,Josh George
https://angel.co/company/esthete-cultivation,Esthete Cultivation,top shelf cannabis meant for the connosieur,esthetecultivation.com,,,,Bolingbrook,1-10 people,Marijuana,Ryan Loess
https://angel.co/company/getleafed,Getleafed,Deals and Events Marketplace,getleafed.com,,,,Chicago,1-10 people,"`
Marijuana
Deals
Events",Sameer Jaggi
https://angel.co/company/universal-hemp,Universal Hemp,B2B manufacturer of patented high-performance CBD and hemp-based ingredients.,universalhemp.co,,,,Denver,1-10 people,Consumer GoodsCosmeticsFood and BeveragesMarijuana,Chad Kahunahana
https://angel.co/company/texas-greens,Texas Greens,CBD Infusion,Texasgreens.us,,,,Houston,1-10 people,MarijuanaVapor Liquid,Daniel Diaz and Jordan Kraatz
https://angel.co/company/rev-ventures,Rev Ventures,Cannabis Friendly Digital Advertising Portfolio,revoffers.com,,https://www.facebook.com/RevOffers/,https://www.linkedin.com/company/revoffers/,San Diego,1-10 people,Performance MarketingNutraceuticalTechnologyMarijuana,Matthew Stein and Jason Brett
https://angel.co/company/strainge,Strainge,Tame the beast of cannabis taxes once and for all with end-to-end compliance automation,straingeinc.com,http://twitter.com/@straingeinc,,,Bend,1-10 people,MarijuanaFinancial ServicesSaaSDeveloper APIs,Matt Kern
https://angel.co/company/strain-genie,Strain Genie,23andMe for Cannabis Patients,straingenie.com,,,,Santa Monica,1-10 people,HealthcareMarijuanaGenomics,Andre Botelho
