fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Homoglyph,xn--rov-gsa79l.co,,,,,,,,
Homoglyph,xn--gre-lob4025c.co,,,,,,,,
Homoglyph,xn--govc-5g5a.co,,,,,,,,
Homoglyph,xn--rve-wsa5809a.co,,,,,,,,
Homoglyph,xn--rov-5qa07h.co,,,,,,,,
Homoglyph,xn--g0ve-qh5a.co,,,,,,,,
Homoglyph,xn--rov-lma06j.co,,,,,,,,
Homoglyph,xn--grv-8la74n.co,,,,,,,,
Homoglyph,xn--ove-gsa4358a.co,,,,,,,,
Homoglyph,xn--gov-ura15m.co,,,,,,,,
Homoglyph,xn--rov-mra06n.co,,,,,,,,
Homoglyph,xn--roe-wsa1847a.co,,,,,,,,
Homoglyph,xn--gve-gna30c.co,,,,,,,,
Homoglyph,xn--rov-5qa0d.co,,,,,,,,
Homoglyph,xn--govc-54b.co,,,,,,,,
Homoglyph,xn--gov-nya62j.co,,,,,,,,
Homoglyph,xn--goe-3ya5148a.co,,,,,,,,
Homoglyph,xn--ove-2fb43c.co,,,,,,,,
Homoglyph,xn--gov-hma65c.co,,,,,,,,
Homoglyph,xn--gov-xnb62b.co,,,,,,,,
Homoglyph,xn--gov-ura69o.co,,,,,,,,
Homoglyph,xn--goe-dlb0826a.co,,,,,,,,
Homoglyph,xn--roe-wsa6968a.co,,,,,,,,
Homoglyph,xn--rov-2ra0a.co,,,,,,,,
Homoglyph,xn--groc-2l5a.co,,,,,,,,
Homoglyph,xn--rov-xnb0z.co,,,,,,,,
Homoglyph,xn--rve-8tb5057a.co,,,,,,,,
Homoglyph,xn--gov-era60p.co,,,,,,,,
Homoglyph,xn--rov-mra0d.co,,,,,,,,
Homoglyph,xn--gve-kob3717a.co,,,,,,,,
Homoglyph,xn--gre-hna4876c.co,,,,,,,,
Homoglyph,xn--grv-5qa23l.co,,,,,,,,
Homoglyph,xn--groe-s69b.co,,,,,,,,
Homoglyph,xn--ove-yrb3h.co,,,,,,,,
Homoglyph,xn--qrov-3zb.co,,,,,,,,
Homoglyph,xn--qrov-8oa.co,,,,,,,,
Homoglyph,xn--rve-gsa5019a.co,,,,,,,,
Homoglyph,xn--gve-3ya48h.co,,,,,,,,
Homoglyph,xn--rve-sna7r.co,,,,,,,,
Homoglyph,xn--rovc-kqb.co,,,,,,,,
Homoglyph,xn--rov-ura0c.co,,,,,,,,
Homoglyph,xn--ove-wsa94o.co,,,,,,,,
Homoglyph,xn--rov-lma0w.co,,,,,,,,
Homoglyph,xn--gro-5qa3778a.co,,,,,,,,
Homoglyph,xn--ove-gsa4258a.co,,,,,,,,
Homoglyph,xn--gov-dxb1627a.co,,,,,,,,
Homoglyph,xn--rov-ura04h.co,,,,,,,,
Homoglyph,xn--gve-gna38q.co,,,,,,,,
Homoglyph,xn--goe-dlb5435c.co,,,,,,,,
Homoglyph,xn--grv-tna0o.co,,,,,,,,
Homoglyph,xn--gve-c7a38c.co,,,,,,,,
Homoglyph,xn--ove-8tb9k.co,,,,,,,,
Homoglyph,xn--grov-3cb.co,,,,,,,,
Homoglyph,xn--gr0e-d69b.co,,,,,,,,
Homoglyph,xn--goe-5jy74c.co,,,,,,,,
Homoglyph,xn--rov-era57n.co,,,,,,,,
Homoglyph,xn--ove-2fb97e.co,,,,,,,,
Homoglyph,xn--grv-lob5586a.co,,,,,,,,
Homoglyph,xn--grov-yva.co,,,,,,,,
Homoglyph,xn--r0ve-47b.co,,,,,,,,
Homoglyph,xn--rovc-47b.co,,,,,,,,
Homoglyph,xn--ove-whb4847a.co,,,,,,,,
Homoglyph,xn--rve-gna2s.co,,,,,,,,
Homoglyph,xn--rov-hma54k.co,,,,,,,,
Homoglyph,xn--gov-5qa15a.co,,,,,,,,
